Filename,Rating
Simon-0711_ta_lyrics_sentiment_classification_comparison.json,7
IBM_IBM-Spectrum-Scale-Security-Posture_comparison.json,7
matryx_MatryxPlatform_comparison.json,8
inovex_scrumlr.io_comparison.json,7
s-sokolko_smev3_adapter_service_comparison.json,8
duanfuxiang0_MysqlMigrationTool_comparison.json,6
EOS-Nation_dfuse-docs_comparison.json,7
Taymindis_fcgi-function_comparison.json,7
quasirsg_Henry-M3_comparison.json,6
awslabs_benchmark-ai_comparison.json,5
batatero_arquiteturaPHP00_comparison.json,7
ballerina-platform_asyncapi-tools_comparison.json,6
OpenPSD_modelbank_comparison.json,7
ndsev_zswag_comparison.json,7
